planet_name,mass,radius,orbital_period,semi_major_axis,eccentricity,star_teff,star_mass,star_radius,distance_pc,hz_inner_au,hz_outer_au,earth_sized,in_hz,habitability_label
109 Psc b,5.743,1.152,1075.4,2.051,0.104,5600.0,1.13,1.79,32.56,0.042351932948683654,0.09995056175889341,True,False,0
51 Peg b,0.47,1.9,4.2308,0.052,0.0069,5758.0,1.03,1.176,15.4614,0.041189792378018134,0.0972079100121228,False,True,0
55 Cnc Ae,0.02703,0.1737,0.7365478,0.015439,0.028,5250.0,0.9,0.963,12.5855,0.045175395145262566,0.10661393254281964,False,False,0
AF Lep b,3.75,1.3,8875.0,8.98,0.013,6130.0,1.2,1.25,26.843,0.03869018344414819,0.09130883292818974,True,False,0
AU Mic b,0.028,0.4273,8.463446,0.07,0.07,3700.0,0.5,0.75,9.79,0.06410022284125093,0.1512765259053522,False,True,0
AU Mic c,0.0456,0.2248,18.859023,0.119,0.18,3700.0,0.5,0.75,9.79,0.06410022284125093,0.1512765259053522,False,True,0
BD-10 3166 b,,1.03,3.4878,0.046,0.0104,5400.0,0.99,1.71,66.0,0.04392052305789415,0.1036524344166302,True,True,1
BD+20 594 b,0.07,0.23,41.6855,0.241,0.0,5766.0,1.67,1.08,180.39,0.04113264386275207,0.09707303951609489,False,False,0
beta Pic b,11.9,1.65,7707.0,9.93,0.103,8052.0,1.73,1.8,19.3,0.029454896238528122,0.06951355512292637,False,False,0
beta Pic c,8.89,1.2,1227.0,2.68,0.32,8052.0,1.73,1.8,19.3,0.029454896238528122,0.06951355512292637,True,False,0
CFHTWIR-Oph 98 b,7.8,1.86,8035500.0,200.0,,2320.0,0.0154,0.24,137.0,0.1022288036692364,0.24125997665939788,False,False,0
COCONUTS-2 b,6.4,1.12,,6471.0,,3406.0,0.37,0.388,10.89,0.06963324266371945,0.16433445268637792,True,False,0
CoRoT-10 b,2.75,0.97,13.2406,0.1055,0.53,5075.0,0.89,0.79,345.0,0.046733167391650926,0.11029027504429618,True,True,1
